gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
Male,1,Yes,No,60,No,No,Fiber optic,Yes,No internet service,Yes,Yes,Yes,No,Two year,No,Bank transfer (automatic),40.08,2544.08,No
Male,0,Yes,Yes,48,Yes,Yes,Fiber optic,Yes,No,No,No,No,Yes,Two year,Yes,Credit card (automatic),87.82,4596.6,No
Female,0,No,No,20,Yes,No,Fiber optic,Yes,No,Yes,No internet service,No,No internet service,Month-to-month,Yes,Electronic check,87.6,1687.28,No
Male,0,No,No,19,Yes,No,DSL,Yes,No internet service,No,Yes,No,No,One year,Yes,Electronic check,27.25,507.61,No
Male,0,No,No,42,Yes,No,Fiber optic,No,No internet service,Yes,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),72.32,3226.25,Yes
Male,0,No,Yes,49,Yes,No phone service,No,No,Yes,No,No,Yes,No internet service,Month-to-month,Yes,Electronic check,90.5,4380.94,No
Male,0,Yes,No,15,Yes,No,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,No,Mailed check,97.47,1570.06,Yes
Female,0,No,Yes,60,Yes,No,Fiber optic,Yes,No internet service,No,No,No,Yes,One year,Yes,Electronic check,60.08,3554.54,No
Female,0,Yes,No,68,Yes,No phone service,Fiber optic,No,No,No,No,No internet service,No,Month-to-month,No,Electronic check,20.54,1308.44,No
Female,0,Yes,No,27,Yes,No,DSL,No,No,No internet service,No,Yes,No internet service,Month-to-month,Yes,Electronic check,89.6,2253.72,Yes
Female,1,No,Yes,55,Yes,Yes,Fiber optic,Yes,No internet service,Yes,No,No internet service,No,Month-to-month,Yes,Electronic check,49.93,2904.52,Yes
Male,0,No,No,15,Yes,No,No,No,No internet service,No,No internet service,No,Yes,Month-to-month,No,Electronic check,42.27,639.21,No
Male,0,Yes,Yes,52,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),99.25,5258.42,No
Female,0,No,No,31,Yes,Yes,Fiber optic,No,Yes,No internet service,No,Yes,No,Month-to-month,Yes,Electronic check,56.5,1782.19,No
Female,0,Yes,No,7,No,Yes,Fiber optic,No,No internet service,Yes,No,No internet service,No,Two year,No,Bank transfer (automatic),68.15,480.78,No
Female,0,Yes,Yes,13,Yes,No phone service,Fiber optic,No internet service,Yes,No,Yes,Yes,Yes,Two year,Yes,Electronic check,57.25,674.12,No
Male,0,Yes,Yes,54,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,Two year,Yes,Mailed check,110.6,5837.5,No
Female,0,No,No,13,No,No,DSL,No,No,No internet service,No internet service,No,Yes,Month-to-month,Yes,Bank transfer (automatic),61.3,806.76,Yes
Female,1,No,No,20,Yes,No phone service,No,No,No internet service,Yes,No,Yes,Yes,Two year,No,Electronic check,55.95,1210.58,No
Female,0,No,Yes,10,Yes,Yes,Fiber optic,No internet service,No internet service,No internet service,No internet service,Yes,No,Month-to-month,Yes,Electronic check,39.84,379.94,Yes
Male,0,Yes,Yes,52,Yes,No,DSL,No,No internet service,No,No,No,No internet service,Two year,No,Credit card (automatic),63.21,3049.44,Yes
Male,0,Yes,No,37,No,No,Fiber optic,No,Yes,No,Yes,No internet service,Yes,Month-to-month,Yes,Credit card (automatic),68.64,2561.89,Yes
Male,0,No,Yes,52,Yes,No phone service,Fiber optic,No internet service,No,Yes,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),85.68,4285.22,No
Male,0,Yes,No,27,Yes,No,DSL,No,Yes,No,Yes,Yes,Yes,Month-to-month,No,Mailed check,92.45,2589.42,Yes
Male,0,Yes,No,34,Yes,No phone service,Fiber optic,No internet service,No internet service,Yes,No internet service,No,No,Two year,Yes,Bank transfer (automatic),42.02,1452.55,No
Male,0,No,Yes,62,Yes,No,DSL,No,No,No internet service,Yes,No,Yes,One year,No,Credit card (automatic),114.28,7225.82,No
Male,1,No,No,16,Yes,No,Fiber optic,Yes,No internet service,Yes,No,No,No internet service,Month-to-month,Yes,Mailed check,82.45,1338.18,Yes
Male,0,Yes,No,59,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,28.44,1836.61,Yes
Female,0,Yes,No,21,Yes,No,Fiber optic,No,No internet service,No,No,No internet service,Yes,One year,No,Credit card (automatic),96.0,2063.6,Yes
Female,0,Yes,No,16,Yes,No,No,Yes,Yes,Yes,No internet service,No,No,Month-to-month,No,Electronic check,89.5,1439.47,Yes
Male,0,No,No,13,Yes,No,No,No,Yes,No internet service,No,No,No,Month-to-month,No,Credit card (automatic),88.65,1042.97,No
Male,0,No,No,33,Yes,No,No,No internet service,Yes,No internet service,No,No,No internet service,Month-to-month,Yes,Bank transfer (automatic),97.82,2983.56,No
Female,0,No,Yes,54,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,No,Mailed check,83.23,4818.68,No
Male,0,Yes,No,69,Yes,No,Fiber optic,No,No,No internet service,Yes,No internet service,No,Month-to-month,Yes,Bank transfer (automatic),19.72,1484.8,Yes
Male,0,Yes,No,27,Yes,Yes,Fiber optic,No internet service,No,No,No internet service,No,Yes,One year,Yes,Mailed check,85.25,2088.77,No
Male,0,No,Yes,52,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,No internet service,No,Month-to-month,Yes,Mailed check,99.69,4777.98,No
Female,0,No,No,65,Yes,Yes,DSL,No,Yes,No,No,No,No internet service,Month-to-month,No,Electronic check,73.85,5149.62,Yes
Female,0,No,No,44,No,Yes,Fiber optic,Yes,No,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),36.71,1522.6,Yes
Female,0,Yes,No,30,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,Two year,No,Bank transfer (automatic),86.61,2370.93,No
Female,0,No,Yes,23,Yes,No,Fiber optic,No,No internet service,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),22.8,562.46,No
Female,0,No,No,16,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,64.91,1095.8,Yes
Male,0,No,No,55,Yes,No,DSL,No internet service,Yes,Yes,Yes,No internet service,No,Month-to-month,Yes,Electronic check,66.83,3767.12,No
Female,0,No,No,18,Yes,Yes,DSL,No,Yes,Yes,Yes,No,No internet service,Month-to-month,Yes,Credit card (automatic),118.18,1951.75,Yes
Male,0,Yes,No,17,Yes,Yes,No,No,No,No,No internet service,No internet service,Yes,Two year,No,Mailed check,36.44,635.74,No
Male,0,Yes,No,52,Yes,Yes,DSL,No,Yes,No internet service,No,Yes,No internet service,One year,Yes,Mailed check,73.04,3571.64,Yes
Female,0,Yes,No,45,Yes,No,No,No,Yes,Yes,Yes,No,Yes,One year,Yes,Electronic check,88.76,4223.58,No
Female,0,No,Yes,56,Yes,Yes,No,No,No internet service,Yes,No,No,Yes,Month-to-month,Yes,Mailed check,19.5,1128.74,No
Male,0,No,No,54,Yes,Yes,No,No,Yes,No,Yes,No internet service,No,One year,Yes,Bank transfer (automatic),110.15,6210.28,No
Male,0,No,Yes,9,Yes,Yes,Fiber optic,No internet service,No,No internet service,Yes,No,No,Month-to-month,Yes,Electronic check,89.15,792.78,Yes
Male,0,Yes,No,17,No,No,No,No internet service,No,No,No,No,No,Month-to-month,Yes,Electronic check,81.74,1356.59,No
Female,0,No,No,27,Yes,No,DSL,No internet service,Yes,Yes,No,No,Yes,Two year,Yes,Mailed check,83.5,2156.55,No
Female,0,No,Yes,37,Yes,Yes,DSL,Yes,No,Yes,No internet service,No,No internet service,Month-to-month,Yes,Electronic check,29.75,1199.22,No
Female,0,Yes,No,22,Yes,Yes,No,No,No,No,No,No,No,Month-to-month,No,Credit card (automatic),115.72,2347.56,No
Female,0,No,No,72,Yes,Yes,DSL,No internet service,Yes,Yes,No internet service,No,No internet service,Month-to-month,Yes,Bank transfer (automatic),63.05,4463.37,No
Female,1,Yes,Yes,67,Yes,No,DSL,No,No,Yes,No,No,No internet service,Two year,No,Electronic check,76.37,5416.67,No
Male,0,Yes,Yes,38,Yes,No phone service,DSL,No,No internet service,Yes,Yes,Yes,Yes,Month-to-month,No,Electronic check,43.88,1702.31,Yes
Female,0,Yes,Yes,72,No,Yes,Fiber optic,No,No internet service,No,Yes,No,No,Month-to-month,No,Electronic check,29.36,2288.93,Yes
Male,0,No,Yes,44,Yes,Yes,Fiber optic,No,No,No,Yes,No,Yes,One year,Yes,Mailed check,98.36,4545.89,No
Male,0,No,No,36,No,Yes,DSL,No,No internet service,No,No,No internet service,Yes,Two year,No,Electronic check,77.89,2810.95,No
Male,0,Yes,No,25,Yes,No,Fiber optic,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,Two year,Yes,Mailed check,57.79,1538.47,No
Female,0,No,Yes,42,Yes,No phone service,Fiber optic,No internet service,Yes,No internet service,Yes,No,Yes,Two year,No,Electronic check,34.16,1552.86,Yes
Female,0,No,No,13,Yes,Yes,No,No,Yes,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),59.5,792.22,Yes
Female,0,No,No,56,Yes,No,DSL,Yes,No internet service,No,No internet service,No,No,Month-to-month,Yes,Bank transfer (automatic),18.3,969.09,No
Male,0,Yes,No,51,Yes,No,DSL,No internet service,No,No,No internet service,Yes,Yes,One year,No,Credit card (automatic),117.37,6246.66,No
Male,0,No,Yes,50,Yes,No,Fiber optic,Yes,Yes,Yes,No,No,Yes,Two year,Yes,Credit card (automatic),82.56,3782.26,No
Male,0,No,No,52,Yes,No,No,No,Yes,No internet service,No,Yes,No,Month-to-month,No,Bank transfer (automatic),47.4,2474.98,No
Male,0,Yes,No,33,Yes,Yes,DSL,No,Yes,No internet service,No,Yes,No,One year,Yes,Electronic check,106.13,3212.99,No
Male,0,Yes,No,25,Yes,No,DSL,No,No internet service,Yes,No,No,No,Two year,No,Mailed check,27.6,626.09,No
Male,1,No,No,58,Yes,No,DSL,No,Yes,No internet service,No internet service,No,No internet service,Two year,No,Credit card (automatic),40.62,2249.72,No
Female,1,Yes,Yes,40,Yes,No phone service,Fiber optic,No internet service,No,No,No,No,No,One year,Yes,Electronic check,50.87,2159.43,No
Female,0,No,No,38,Yes,No,Fiber optic,Yes,No internet service,Yes,No internet service,No internet service,No,Month-to-month,No,Mailed check,110.11,4337.37,No
Female,0,Yes,No,3,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,One year,No,Bank transfer (automatic),43.95,120.77,No
Female,1,No,No,16,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,No,No,Two year,No,Bank transfer (automatic),60.69,945.27,No
Male,0,Yes,No,2,Yes,No,Fiber optic,No,No,No internet service,No,Yes,No internet service,One year,Yes,Credit card (automatic),80.91,170.29,No
Male,0,Yes,No,23,Yes,No,DSL,Yes,Yes,No internet service,No,No internet service,No,Month-to-month,Yes,Electronic check,96.9,2157.69,No
Female,1,Yes,No,30,Yes,No,Fiber optic,No internet service,No internet service,Yes,No,Yes,No,Month-to-month,No,Credit card (automatic),85.67,2800.57,No
Male,0,No,No,10,Yes,Yes,Fiber optic,No internet service,No,No,No internet service,No internet service,Yes,Month-to-month,No,Electronic check,87.6,961.45,Yes
Female,0,No,Yes,65,Yes,Yes,DSL,No,No internet service,Yes,No,No,No internet service,One year,No,Electronic check,93.75,5512.7,No
Female,0,Yes,No,22,No,No,Fiber optic,No,No,No internet service,No,No,Yes,One year,No,Credit card (automatic),77.89,1697.98,No
Female,0,Yes,No,52,Yes,Yes,Fiber optic,No,No,No internet service,No,No,No,Month-to-month,Yes,Credit card (automatic),69.8,3646.42,Yes
Male,1,No,No,56,No,Yes,Fiber optic,No,No internet service,Yes,No internet service,Yes,No,One year,No,Electronic check,102.67,6240.77,No
Female,0,Yes,No,33,Yes,No,DSL,Yes,No,Yes,No,No,Yes,One year,No,Electronic check,90.76,2932.22,No
Female,0,No,No,30,Yes,Yes,Fiber optic,No,Yes,No,No internet service,No,No,Month-to-month,Yes,Mailed check,66.73,1832.64,No
Female,0,Yes,No,24,Yes,No,DSL,Yes,No internet service,No internet service,No internet service,No,No,Two year,No,Mailed check,104.55,2439.1,No
Male,0,No,No,5,Yes,Yes,DSL,No,No,No,Yes,No,Yes,Month-to-month,Yes,Mailed check,35.94,179.6,No
Male,0,No,Yes,53,Yes,No,No,No internet service,Yes,Yes,No,Yes,No internet service,Month-to-month,No,Mailed check,108.1,5379.45,No
Female,0,No,Yes,55,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,35.29,1901.4,Yes
Male,1,No,Yes,23,No,Yes,Fiber optic,No internet service,No,Yes,No,No internet service,No internet service,One year,Yes,Credit card (automatic),43.24,906.65,No
Male,0,Yes,No,10,Yes,No,No,No,No,No,No,No,No internet service,Month-to-month,Yes,Credit card (automatic),45.0,490.08,No
Male,0,Yes,Yes,33,Yes,No,Fiber optic,No,No,No,Yes,Yes,No internet service,Month-to-month,Yes,Mailed check,24.53,828.07,Yes
Male,0,No,No,62,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,No internet service,Month-to-month,Yes,Mailed check,48.45,3262.33,No
Male,0,No,Yes,27,Yes,Yes,DSL,Yes,No internet service,No,No,Yes,No,One year,No,Mailed check,46.24,1313.64,No
Male,0,No,No,7,Yes,No phone service,DSL,No internet service,Yes,Yes,No,Yes,No,Month-to-month,No,Bank transfer (automatic),78.15,546.67,No
Male,0,No,No,27,Yes,No,Fiber optic,No,No,No internet service,Yes,Yes,Yes,Two year,No,Bank transfer (automatic),79.01,2041.81,No
Male,0,No,No,10,Yes,Yes,No,No,Yes,No,Yes,Yes,No,One year,No,Mailed check,73.98,752.81,Yes
Male,0,Yes,No,57,Yes,Yes,Fiber optic,No,No internet service,No,No internet service,No internet service,No,Month-to-month,No,Credit card (automatic),82.23,4657.94,Yes
Male,0,Yes,No,30,Yes,No,DSL,Yes,Yes,No,Yes,No,Yes,Month-to-month,Yes,Mailed check,22.1,597.73,Yes
Female,0,Yes,No,3,Yes,Yes,Fiber optic,No,No,No internet service,Yes,No,Yes,One year,Yes,Electronic check,89.28,275.17,Yes
Female,0,Yes,No,29,Yes,Yes,DSL,Yes,Yes,Yes,No,No internet service,No,Month-to-month,Yes,Bank transfer (automatic),114.77,3559.21,No
Male,0,No,No,14,Yes,No,No,No,No,No,No,No internet service,Yes,Month-to-month,Yes,Electronic check,82.47,1245.63,Yes
Female,0,Yes,No,25,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,No,Two year,Yes,Bank transfer (automatic),46.35,1207.7,No
Female,0,Yes,No,10,No,Yes,No,No internet service,No,Yes,No,No,Yes,One year,Yes,Electronic check,49.56,491.42,No
Male,1,Yes,No,49,Yes,No,DSL,No internet service,No,No internet service,No,No internet service,Yes,One year,Yes,Electronic check,96.13,4630.16,No
Male,0,Yes,No,38,Yes,No,DSL,No,Yes,No internet service,No,No,No,One year,Yes,Electronic check,29.37,1102.77,No
Male,0,Yes,Yes,71,Yes,Yes,Fiber optic,No,No,No,No internet service,No,No,Two year,No,Electronic check,56.01,4267.0,No
Female,0,No,Yes,14,Yes,No phone service,No,No,No,No,Yes,No,Yes,Month-to-month,No,Bank transfer (automatic),37.42,525.91,No
Female,0,Yes,No,30,Yes,No,Fiber optic,Yes,Yes,No internet service,No internet service,Yes,Yes,Two year,No,Electronic check,38.41,1054.13,Yes
Male,0,No,No,40,No,Yes,No,No,No,Yes,No internet service,No internet service,No,Month-to-month,Yes,Credit card (automatic),18.36,729.61,No
Male,0,No,No,12,Yes,No,DSL,Yes,No internet service,No internet service,No internet service,Yes,No,Two year,No,Bank transfer (automatic),108.54,1381.99,No
Male,0,No,No,14,Yes,No,Fiber optic,Yes,No internet service,No internet service,No internet service,Yes,Yes,Two year,No,Credit card (automatic),50.35,669.45,No
Female,0,Yes,No,1,Yes,No,Fiber optic,No internet service,No internet service,No,Yes,No,No,Month-to-month,No,Electronic check,57.48,59.95,No
Female,0,Yes,No,68,Yes,No,Fiber optic,No,Yes,No,No internet service,No,No,Month-to-month,No,Mailed check,20.61,1328.06,No
Female,0,Yes,No,49,Yes,Yes,Fiber optic,No,Yes,No internet service,No,No internet service,Yes,Month-to-month,No,Bank transfer (automatic),27.69,1399.92,Yes
Female,0,Yes,No,18,Yes,Yes,Fiber optic,No,No internet service,No,Yes,No,No,One year,Yes,Electronic check,40.69,734.26,No
Male,0,No,No,36,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,One year,Yes,Electronic check,35.48,1271.92,No
Male,0,No,Yes,64,Yes,No,DSL,No,No,No internet service,No,No,No,Month-to-month,Yes,Credit card (automatic),103.62,6881.38,No
Male,0,No,Yes,28,Yes,No phone service,DSL,No internet service,No,Yes,No,No,No internet service,Month-to-month,Yes,Credit card (automatic),115.06,3209.05,No
Male,0,Yes,No,32,No,No,Fiber optic,No,No internet service,Yes,No internet service,No internet service,No,Month-to-month,Yes,Credit card (automatic),113.4,3763.39,No
Female,0,No,No,72,Yes,Yes,Fiber optic,No,Yes,No internet service,No,Yes,No,Month-to-month,Yes,Credit card (automatic),39.79,3119.33,Yes
Female,1,Yes,No,25,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),30.92,741.8,Yes
Male,0,No,No,47,Yes,No,Fiber optic,No internet service,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),85.32,3631.0,No
Male,0,No,No,20,Yes,Yes,DSL,Yes,No,No internet service,No,No,No,One year,Yes,Electronic check,46.49,936.89,No
Female,0,Yes,No,33,Yes,Yes,Fiber optic,No internet service,No,No,No,No,Yes,Month-to-month,Yes,Mailed check,23.75,749.43,Yes
Male,0,Yes,Yes,30,Yes,No,DSL,No,Yes,No internet service,No,No,Yes,Month-to-month,No,Electronic check,75.37,2273.72,No
Female,0,No,No,37,Yes,No,Fiber optic,No internet service,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,45.18,1712.64,Yes
Male,0,Yes,No,53,No,Yes,No,No,No,Yes,No,No,No,Two year,No,Electronic check,50.52,2716.45,No
Male,0,Yes,Yes,69,Yes,Yes,No,No internet service,No,No internet service,Yes,Yes,No internet service,One year,Yes,Mailed check,78.67,5582.69,No
Male,0,Yes,No,8,Yes,No,No,No,No,No,No,No,No internet service,Two year,No,Bank transfer (automatic),89.12,696.94,No
Male,0,Yes,No,1,Yes,No,DSL,Yes,No internet service,No,No,Yes,No,Two year,No,Mailed check,29.22,29.32,No
Male,0,No,No,7,Yes,No,DSL,Yes,No,No internet service,Yes,Yes,No internet service,One year,Yes,Credit card (automatic),23.17,161.22,No
Male,0,No,No,62,Yes,No,Fiber optic,No,No,No,No internet service,No internet service,Yes,Month-to-month,No,Electronic check,102.13,5997.48,Yes
Male,0,No,No,58,Yes,Yes,Fiber optic,No,No internet service,Yes,No,No,No internet service,Month-to-month,No,Credit card (automatic),45.35,2623.95,Yes
Female,0,Yes,No,8,Yes,Yes,DSL,Yes,No,No,No,No,No internet service,One year,Yes,Mailed check,71.62,615.22,No
Female,0,No,No,64,Yes,No,Fiber optic,No internet service,No,No,No,No,No,One year,Yes,Electronic check,98.08,6057.7,No
Female,0,No,Yes,8,Yes,No,Fiber optic,No internet service,Yes,Yes,No,No,No,One year,Yes,Credit card (automatic),23.61,194.03,Yes
Female,0,Yes,No,3,Yes,No phone service,No,No internet service,No,Yes,No,No,Yes,Month-to-month,No,Mailed check,96.88,268.14,Yes
Female,0,Yes,No,58,Yes,No,No,No internet service,Yes,No,No internet service,No,No internet service,One year,Yes,Electronic check,74.95,3949.94,No
Male,0,No,No,32,Yes,No,DSL,No,No,Yes,No,No internet service,No,Month-to-month,No,Electronic check,28.76,1009.18,Yes
Male,1,Yes,No,68,Yes,No,DSL,No,Yes,No,No internet service,No,No internet service,Month-to-month,Yes,Electronic check,86.98,5673.97,No
Female,0,Yes,No,49,Yes,Yes,Fiber optic,No internet service,No,Yes,No internet service,Yes,No,Month-to-month,Yes,Bank transfer (automatic),25.44,1327.62,No
Male,0,Yes,Yes,38,Yes,No,DSL,No,No,Yes,No internet service,Yes,Yes,Two year,Yes,Mailed check,49.74,2044.37,No
Female,0,Yes,No,2,Yes,Yes,DSL,No,Yes,No internet service,Yes,Yes,No,One year,No,Credit card (automatic),72.66,141.71,No
Female,0,Yes,No,9,Yes,No,No,No,No internet service,No,Yes,Yes,No internet service,Two year,No,Mailed check,86.76,704.38,Yes
Male,1,Yes,No,46,Yes,Yes,No,No internet service,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,44.76,1986.62,No
Male,0,No,No,65,No,No,Fiber optic,No,Yes,No,No internet service,Yes,No,Month-to-month,No,Bank transfer (automatic),36.4,2536.91,No
Male,0,Yes,No,49,Yes,No phone service,No,No,No,No,Yes,No,No internet service,Two year,Yes,Credit card (automatic),93.51,4920.44,No
Female,0,No,No,29,Yes,Yes,DSL,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,59.68,1875.62,No
Male,0,Yes,No,29,Yes,No,Fiber optic,No,No,Yes,Yes,No,Yes,Two year,Yes,Electronic check,38.74,1193.81,Yes
Female,1,No,No,33,Yes,No phone service,Fiber optic,No internet service,No,Yes,No internet service,No internet service,No,Month-to-month,No,Credit card (automatic),78.63,2424.15,No
Female,0,No,No,28,Yes,No,No,No internet service,Yes,No,No internet service,No,No internet service,Month-to-month,Yes,Electronic check,58.22,1620.94,No
Female,1,No,No,26,Yes,No,DSL,No,Yes,Yes,No,No,No,Month-to-month,No,Credit card (automatic),81.21,2084.05,No
Male,0,No,No,29,Yes,Yes,Fiber optic,No,No internet service,No,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),97.78,2835.64,No
Male,0,No,Yes,11,Yes,Yes,No,Yes,Yes,Yes,No,No,No internet service,Month-to-month,Yes,Electronic check,20.05,224.52,No
Female,0,No,No,34,Yes,Yes,Fiber optic,Yes,No internet service,No,No,No internet service,No,Month-to-month,Yes,Electronic check,54.27,1798.7,No
Male,0,Yes,Yes,48,No,No phone service,Fiber optic,Yes,No,Yes,No,No,No,One year,Yes,Electronic check,53.81,2676.1,Yes
Male,0,Yes,Yes,27,Yes,No,No,No,No internet service,No internet service,No internet service,No,No,Month-to-month,Yes,Credit card (automatic),109.76,2686.36,No
Male,0,No,No,72,Yes,No,DSL,Yes,Yes,No,No internet service,Yes,No,One year,Yes,Credit card (automatic),119.7,9008.99,No
Female,0,Yes,Yes,40,Yes,No,DSL,Yes,No,No,No,Yes,No,One year,Yes,Credit card (automatic),84.6,3406.73,No
Female,0,No,No,31,Yes,No,DSL,Yes,Yes,No,Yes,No,No internet service,Month-to-month,Yes,Credit card (automatic),59.61,1720.38,No
Male,0,No,Yes,65,Yes,No,Fiber optic,No,No internet service,No,No,No,Yes,Month-to-month,Yes,Mailed check,62.9,4158.75,Yes
Female,0,Yes,No,39,Yes,No,No,No,Yes,Yes,No,No internet service,No internet service,One year,Yes,Credit card (automatic),85.68,3050.29,No
Male,0,No,Yes,24,Yes,No,Fiber optic,No internet service,No,Yes,No,No internet service,Yes,Month-to-month,No,Electronic check,78.62,1944.42,Yes
Male,0,Yes,Yes,68,Yes,Yes,Fiber optic,Yes,No internet service,No,Yes,No internet service,Yes,Month-to-month,Yes,Credit card (automatic),105.66,7275.81,Yes
Male,0,Yes,No,23,Yes,Yes,No,No,Yes,Yes,Yes,No,No internet service,Month-to-month,Yes,Electronic check,90.81,2292.4,No
Male,0,No,No,61,Yes,Yes,Fiber optic,No internet service,Yes,Yes,No,No,Yes,Month-to-month,No,Mailed check,31.68,1802.39,No
Female,1,Yes,No,27,Yes,Yes,No,No internet service,No,No internet service,No,Yes,No internet service,Month-to-month,Yes,Mailed check,103.55,3015.14,No
Female,0,No,Yes,16,Yes,Yes,No,Yes,No,No,No,No,Yes,One year,Yes,Credit card (automatic),47.68,751.7,No
Female,0,No,No,45,Yes,Yes,Fiber optic,Yes,No,No internet service,No,Yes,No internet service,Two year,Yes,Mailed check,95.7,3965.81,No
Male,0,Yes,No,27,Yes,Yes,DSL,Yes,No,No,Yes,Yes,No internet service,Month-to-month,Yes,Mailed check,23.65,672.6,Yes
Male,0,No,Yes,5,Yes,No,DSL,No,Yes,No internet service,Yes,No,No,One year,Yes,Credit card (automatic),49.95,273.55,No
Male,1,No,No,59,Yes,No,Fiber optic,No,No,Yes,No internet service,No internet service,Yes,Two year,Yes,Electronic check,91.83,5717.23,No
Female,0,Yes,No,72,Yes,Yes,Fiber optic,No,Yes,No,No,No internet service,Yes,One year,Yes,Electronic check,117.64,8687.56,Yes
Male,0,Yes,No,35,Yes,Yes,DSL,No,Yes,Yes,No,No,No,One year,Yes,Electronic check,58.99,1891.39,No
Female,0,No,No,70,Yes,No,DSL,No,Yes,Yes,Yes,No,Yes,Month-to-month,Yes,Credit card (automatic),42.81,2947.11,No
Female,0,No,No,46,Yes,No,Fiber optic,No,No,No internet service,No,No,No,Month-to-month,Yes,Electronic check,106.85,4483.19,No
Female,0,Yes,No,56,No,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,103.82,5664.55,No
Female,0,Yes,No,24,Yes,No,Fiber optic,Yes,No,Yes,No internet service,No,No internet service,Two year,No,Bank transfer (automatic),73.53,1769.15,No
Female,0,No,No,10,Yes,No,Fiber optic,No,No internet service,Yes,No internet service,Yes,No,Month-to-month,No,Bank transfer (automatic),45.19,468.75,Yes
Female,1,No,No,38,Yes,Yes,Fiber optic,No,No,No,No internet service,Yes,Yes,Month-to-month,Yes,Credit card (automatic),49.47,1798.78,Yes
Male,0,Yes,No,70,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No internet service,One year,Yes,Mailed check,67.86,5152.55,No
Male,0,No,No,48,Yes,No,Fiber optic,No,No,No,No,No internet service,No internet service,Month-to-month,No,Electronic check,118.19,5671.25,Yes
Female,0,Yes,No,9,Yes,No,Fiber optic,No internet service,No internet service,No,No internet service,No,No,Two year,Yes,Electronic check,29.32,262.21,No
Female,0,No,No,50,Yes,No,DSL,No internet service,Yes,No,Yes,No,No,One year,No,Electronic check,55.12,2547.79,No
Male,1,Yes,Yes,69,Yes,No,Fiber optic,No internet service,No internet service,No,No,No,No internet service,Month-to-month,No,Bank transfer (automatic),105.82,7470.26,No
Female,0,Yes,No,48,Yes,No,Fiber optic,No internet service,No,No,No,No internet service,Yes,One year,No,Bank transfer (automatic),116.1,5420.45,No
Female,0,Yes,No,39,Yes,No,DSL,No internet service,No,Yes,No,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),23.17,982.12,No
Male,0,No,No,5,Yes,No phone service,Fiber optic,No,No,No internet service,No,Yes,Yes,Two year,No,Credit card (automatic),78.11,420.57,No
Female,0,No,No,11,Yes,Yes,DSL,No,Yes,Yes,No,No,No,Month-to-month,Yes,Electronic check,79.64,861.12,Yes
Female,1,No,No,60,Yes,Yes,DSL,No,No internet service,No internet service,No,No,No,Month-to-month,Yes,Electronic check,69.47,4418.88,No
Female,0,No,No,27,Yes,Yes,Fiber optic,No internet service,No internet service,No,No,No internet service,No,Month-to-month,No,Bank transfer (automatic),22.4,607.34,No
Male,0,Yes,No,7,Yes,Yes,DSL,No internet service,No internet service,Yes,No,No,No,Month-to-month,No,Credit card (automatic),50.4,351.55,Yes
Male,1,No,No,60,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,62.91,3929.39,Yes
Male,1,Yes,No,50,Yes,No,Fiber optic,No internet service,No,No internet service,Yes,No,No,One year,No,Credit card (automatic),67.75,3591.67,No
